salinity_class_final,global_id_count,surface_area_km2_sum,surface_area_km2_mean,surface_area_km2_std,surface_area_km2_min,surface_area_km2_max,region
Freshwater,319420,192431.01,3.23,51.92,0.0,5936.34,AF
Mesohaline,19599,5220.65,0.64,1.93,0.0,57.83,AF
Oligohaline,12060,2656.8,0.77,2.64,0.0,49.06,AF
Freshwater,327900,78157.8,0.66,3.29,0.0,313.12,AS
Mesohaline,19255,7517.88,0.76,2.41,0.0,57.43,AS
Oligohaline,6631,2755.6,1.33,7.57,0.0,174.49,AS
Freshwater,145470,83952.19,1.58,18.34,0.0,2105.66,EU
Mesohaline,107,7.88,0.44,0.44,0.0,1.47,EU
Oligohaline,4739,1758.45,1.17,3.91,0.0,55.08,EU
Freshwater,283405,469781.35,3.66,47.85,0.0,5555.41,NA
Mesohaline,11156,5027.46,0.95,6.05,0.0,304.32,NA
Oligohaline,8318,2170.07,0.88,4.38,0.0,106.78,NA
Freshwater,230840,119235.4,1.12,7.18,0.0,703.27,SA
Mesohaline,1259,995.59,1.63,10.48,0.0,149.99,SA
Oligohaline,5790,2045.05,1.18,4.83,0.0,98.19,SA
Freshwater,235114,106182.59,0.7,9.69,0.0,1293.88,SI
Freshwater,112598,13620.43,0.51,1.95,0.0,84.92,SP
Mesohaline,9953,2303.42,0.51,1.07,0.0,26.04,SP
Oligohaline,10455,2474.83,0.66,1.9,0.0,34.27,SP
